,newid,Id,ActivityDate,TotalSteps,activityinSteps,TotalDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,TotalActiveMinutes,SedentaryMinutes,Calories,TotalMinutesAsleep,TotalTimeInBed,SleepQuality,SleepStart,SleepEnd,HoursSlept
300,6117666160_2016-05-07,6117666160,2016-05-07,7336,Low active,5.53999996185303,0.0,0.0,5.53999996185303,0,0,412,412,456,2469,498,507,98.22485207100591,01:01:00,23:59:00,8.3
301,6117666160_2016-05-08,6117666160,2016-05-08,7328,Low active,5.53000020980835,0.0,0.0,5.53000020980835,0,0,318,318,517,2250,555,603,92.03980099502488,00:00:00,23:59:30,9.25
302,6117666160_2016-05-09,6117666160,2016-05-09,4477,Sedentary,3.38000011444092,0.0,0.0,3.38000011444092,0,0,197,197,125,1248,492,522,94.25287356321839,00:00:30,07:34:30,8.2
303,6775888955_2016-04-13,6775888955,2016-04-13,4053,Sedentary,2.91000008583069,1.11000001430511,0.579999983310699,1.22000002861023,17,18,85,120,1053,2400,235,260,90.38461538461539,02:49:30,23:59:00,3.92
304,6775888955_2016-04-14,6775888955,2016-04-14,5162,Low active,3.70000004768372,0.870000004768372,0.860000014305115,1.97000002861023,14,24,105,143,863,2507,423,441,95.91836734693877,00:00:00,07:13:00,7.05
305,6775888955_2016-04-15,6775888955,2016-04-15,1282,Sedentary,0.920000016689301,0.0,0.0,0.920000016689301,0,0,58,58,976,2127,391,406,96.30541871921181,00:11:00,06:56:00,6.52
306,6962181067_2016-04-12,6962181067,2016-04-12,10199,Active,6.73999977111816,3.40000009536743,0.829999983310699,2.50999999046326,50,14,189,253,796,1994,366,387,94.57364341085271,00:23:30,23:59:00,6.1
307,6962181067_2016-04-13,6962181067,2016-04-13,5652,Low active,3.74000000953674,0.569999992847443,1.21000003814697,1.96000003814697,8,24,142,174,548,1718,630,679,92.78350515463917,00:00:00,23:59:30,10.5
308,6962181067_2016-04-14,6962181067,2016-04-14,1551,Sedentary,1.02999997138977,0.0,0.0,1.02999997138977,0,0,86,86,862,1466,508,535,94.95327102803738,00:00:30,08:12:00,8.47
309,6962181067_2016-04-15,6962181067,2016-04-15,5563,Low active,3.6800000667572,0.0,0.0,3.6800000667572,0,0,217,217,837,1756,370,386,95.85492227979275,00:23:00,06:48:00,6.17
310,6962181067_2016-04-16,6962181067,2016-04-16,13217,Highly active,8.73999977111816,3.66000008583069,0.189999997615814,4.88000011444092,50,3,280,333,741,2173,357,366,97.54098360655738,01:36:30,07:41:30,5.95
311,6962181067_2016-04-17,6962181067,2016-04-17,10145,Active,6.71000003814697,0.330000013113022,0.680000007152557,5.69000005722046,5,13,295,313,634,2027,427,446,95.73991031390135,00:06:30,23:59:30,7.12
312,6962181067_2016-04-18,6962181067,2016-04-18,11404,Active,7.53999996185303,0.829999983310699,2.39000010490417,4.32000017166138,13,42,238,293,689,2039,442,458,96.50655021834062,00:00:30,23:59:30,7.37
313,6962181067_2016-04-19,6962181067,2016-04-19,10742,Active,7.09999990463257,2.09999990463257,2.13000011444092,2.86999988555908,35,41,195,271,659,2046,476,535,88.97196261682242,00:00:30,23:59:00,7.93
314,6962181067_2016-04-20,6962181067,2016-04-20,13928,Highly active,9.55000019073486,4.28000020980835,0.189999997615814,5.09000015258789,48,4,297,349,639,2174,418,424,98.58490566037736,00:00:00,23:59:00,6.97
315,6962181067_2016-04-21,6962181067,2016-04-21,11835,Active,9.71000003814697,3.99000000953674,2.09999990463257,3.50999999046326,53,27,214,294,708,2179,451,457,98.6870897155361,00:00:00,23:59:00,7.52
316,6962181067_2016-04-22,6962181067,2016-04-22,10725,Active,7.09000015258789,1.76999998092651,1.54999995231628,3.76999998092651,30,33,240,303,659,2086,425,435,97.70114942528735,00:00:00,23:59:30,7.08
